1,Hydrogen,H,1.007,0,1,1,1,1,gas,Nonmetal,0.79,8.99E-05,14.175,20.28,Cavendish,1766
2,Helium,He,4.002,2,2,2,1,18,gas,Noble Gas,0.49,1.79E-04,N/A,4.22,Janssen,1868
3,Lithium,Li,6.941,4,3,3,2,1,solid,Alkali Metal,2.1,5.34E-01,453.85,1615,Arfvedson,1817
4,Beryllium,Be,9.012,5,4,4,2,2,solid,Alkaline Earth Metal,1.4,1.85E+00,1560.15,2742,Vaulquelin,1798
5,Boron,B,10.811,6,5,5,2,13,solid,Metalloid,1.2,2.34E+00,2573.15,4200,Gay-Lussac,1808
6,Carbon,C,12.011,6,6,6,2,14,solid,Nonmetal,0.91,2.27E+00,3948.15,4300,Prehistoric,N/A
7,Nitrogen,N,14.007,7,7,7,2,15,gas,Nonmetal,0.75,1.25E-03,63.29,77.36,Rutherford,1772
8,Oxygen,O,15.999,8,8,8,2,16,gas,Nonmetal,0.65,1.43E-03,50.5,90.2,Priestley/Scheele,1774
9,Fluorine,F,18.998,10,9,9,2,17,gas,Halogen,0.57,1.70E-03,53.63,85.03,Moissan,1886
10,Neon,Ne,20.18,10,10,10,2,18,gas,Noble Gas,0.51,9.00E-04,24.703,27.07,Ramsay and Travers,1898
11,Sodium,Na,22.99,12,11,11,3,1,solid,Alkali Metal,2.2,9.71E-01,371.15,1156,Davy,1807
12,Magnesium,Mg,24.305,12,12,12,3,2,solid,Alkaline Earth Metal,1.7,1.74E+00,923.15,1363,Black,1755
13,Aluminum,Al,26.982,14,13,13,3,13,solid,Metal,1.8,2.70E+00,933.4,2792,Wshler,1827
14,Silicon,Si,28.086,14,14,14,3,14,solid,Metalloid,1.5,2.33E+00,1683.15,3538,Berzelius,1824
15,Phosphorus,P,30.974,16,15,15,3,15,solid,Nonmetal,1.2,1.82E+00,317.25,553,BranBrand,1669
16,Sulfur,S,32.065,16,16,16,3,16,solid,Nonmetal,1.1,2.07E+00,388.51,717.8,Prehistoric,N/A
17,Chlorine,Cl,35.453,18,17,17,3,17,gas,Halogen,0.97,3.21E-03,172.31,239.11,Scheele,1774
18,Argon,Ar,39.948,22,18,18,3,18,gas,Noble Gas,0.88,1.78E-03,83.96,87.3,Rayleigh and Ramsay,1894
19,Potassium,K,39.098,20,19,19,4,1,solid,Alkali Metal,2.8,8.62E-01,336.5,1032,Davy,1807
20,Calcium,Ca,40.078,20,20,20,4,2,solid,Alkaline Earth Metal,2.2,1.54E+00,1112.15,1757,Davy,1808
21,Scandium,Sc,44.956,24,21,21,4,3,solid,Transition Metal,2.1,2.99E+00,1812.15,3109,Nilson,1878
22,Titanium,Ti,47.867,26,22,22,4,4,solid,Transition Metal,2,4.54E+00,1933.15,3560,Gregor,1791
23,Vanadium,V,50.942,28,23,23,4,5,solid,Transition Metal,1.9,6.11E+00,2175.15,3680,   del Rio,1801
24,Chromium,Cr,51.996,28,24,24,4,6,solid,Transition Metal,1.9,7.15E+00,2130.15,2944,Vauquelin,1797
25,Manganese,Mn,54.938,30,25,25,4,7,solid,Transition Metal,1.8,7.44E+00,1519.15,2334,"Gahn, Scheele",1774
26,Iron,Fe,55.845,30,26,26,4,8,solid,Transition Metal,1.7,7.87E+00,1808.15,3134,Prehistoric,N/A
27,Cobalt,Co,58.933,32,27,27,4,9,solid,Transition Metal,1.7,8.86E+00,1768.15,3200,Brandt,1735
28,Nickel,Ni,58.693,31,28,28,4,10,solid,Transition Metal,1.6,8.91E+00,1726.15,3186,Cronstedt,1751
29,Copper,Cu,63.546,35,29,29,4,11,solid,Transition Metal,1.6,8.96E+00,1357.75,2835,Prehistoric,N/A
30,Zinc,Zn,65.38,35,30,30,4,12,solid,Transition Metal,1.5,7.13E+00,692.88,1180,Prehistoric,N/A
